00481,BT PANJANG TEMP BUS PK
41049,Opp Coronation Plaza, Coronation Plaza对面
41051,Tan Kah Kee Stn, 大牌JC对面
41061,Chinese High Sch, High Sch对面
41069,Opp Tan Kah Kee Stn, Opp Chinese High Sch
41071,Opp Natl JC, 大牌JC对面
41079,Natl JC, 大牌JC
41081,Sixth Ave Stn, Third Ave对面
41089,Aft Jln Naga Sari, 义顺2道之后
41101,St. Margaret's Sec Sch, St. Margaret's Sec Sch
41109,Opp St. Margaret's Sec Sch, St. Margaret's Sec Sch对面
41111,Lutheran Twrs, Lutheran Twrs
41119,Opp Lutheran Twrs, Lutheran Twrs对面
41121,S'Pore Bible Coll, 新加坡神学院
41129,Opp S'Pore Bible Coll, 新加坡神学院对面
41131,Opp The Japanese Assn, Japanese Assn 对面
41139,Aft The Japanese Assn, Japanese Assn 之后
41141,Bef SICC, SICC之前
41149,Opp SICC, SICC对面
41151,Aft SICC, 大牌SICC
41159,Aft Lornie Wk, Lornie Walk对面
42011,Sixth Ave Ctr, Ave Ctr对面
42019,Opp Sixth Ave Stn, Opp Sixth Ave Ctr
42021,Aft Maple Ave, Maple Ave对面
42029,Aft Swiss Club Rd, 义顺2道之后
42031,The Tessarina, The Tessarina
42039,Opp The Nexus, The Nexus对面
42041,The Nexus, The Nexus
42049,Hua Guan Gdn, Guan Gdn对面
42051,King Albert Pk Stn, The Sterling
42059,Opp King Albert Pk Stn, 义顺2道之后
42061,King Albert Pk, Albert Pk对面
42071,Pei Hwa Presby Pr Sch, Shell Kiosk
42089,Opp Bt Timah Plaza, Opp Bt Timah Plaza
42091,Beauty World Stn Exit B, Bt Timah Shop Ctr对面
42099,Beauty World Stn Exit A, 大牌II
42109,Opp Beauty World Ctr, Opp Beauty World Ctr
42111,WOH HUP BLDG, Ｇｅｙｌａｎｇ　Bt　Timah　之后
42119,Southaven II, 大牌II
42129,Sixth Ave Ville, Ave Ville对面
42131,Aft Lantana Ave, Lantana Ave对面
42139,Ave Villa, Avenue Villa
42141,Bef Dunearn Rd, Opp King Albert Pk
42149,Aft Bt Timah Rd, 义顺2道之后
42151,Beauty World Stn Exit C, Upp Bt Timah Rd对面
42159,Opp Beauty World Stn, Upp Bt Timah Rd对面
42161,Blk 18, 大牌18
42169,Opp Blk 19, 大牌19对面
42171,Signature Pk Condo, Pk Condo对面
42179,Aft Chun Tin Rd, Rainbow Gdns对面
42181,Opp The Hillford, Grand Chateau
42189,The Hillford, Grand Chateau对面
42191,Bef Bt Batok East Ave 6, Bt Batok East Ave 6对面
42199,Aft Bt Batok East Ave 6, Bt Batok East Ave 6对面
42201,Bef Toh Tuck Rise, Bef Toh Tuck Rise
42209,Aft Toh Tuck Rise, Toh Tuck之后
42211,Highgate Pk, Highgate Condo
42219,Opp Highgate Pk, Highgate Condo对面
42221,Good Luck Gdn, Luck Gdn对面
42229,Aft Toh Tuck Terr, Toh Tuck之后
42231,Bef Jln Jurong Kechil, Bef Jln Jurong Kechil
42239,Aft Jln Jurong Kechil, Jln Jurong之后
42241,Aft Eng Kong Pl, 义顺2道之后
42249,Bef Eng Kong Pl, Bef Eng Kong Pl
42259,Goh & Goh Bldg, Goh & Goh Bldg
42291,Opp Toh Tuck Cres, Opp Toh Tuck Cres
42299,Aft Toh Tuck Cres, Toh Tuck之后
42301,Opp Hse No. 19, Opp Hse No. 19
42309,Hse No. 45, 大牌45对面
42311,Opp Burgundy Hill, Burgundy山对面
42319,Burgundy Hill, Burgundy山
42991,BEF HILLVIEW STN EXIT B
43009,Bt Batok Int, 武吉巴督转换站
43011,Bt Regency, Bt Regency
43019,Aft Bt Timah Fire Stn, Bt Timah Fire Stn对面
43021,Aft Old Jurong Rd, Ｇｅｙｌａｎｇ　Jurong　Rd　之后
43029,Opp The Hillside, The Hillside对面
43041,Hume Pk Condo, Pk Condo对面
43049,Opp Hume Pk Condo, Opp Hume Pk Condo
43051,Opp The Rail Mall, Opp The Rail Mall
43059,The Rail Mall, Rail Mall对面
43061,Hillview Stn, Chartered Bank对面
43069,HILLVIEW STN EXIT A, Ｇｅｙｌａｎｇ　Farm　Rd　之后
43071,Opp Dairy Farm Rd, Opp Dairy Farm Rd
43081,Opp Assumption Eng Sch, Opp Assumption Eng Sch
43089,Aft Assumption Eng Sch, Ｇｅｙｌａｎｇ　Eng　Sch　之后
43091,Bef Cashew Stn, Cashew Rd对面
43099,Assumption Pathway Sch, Pathway Sch对面
43109,Cashew Stn, Opp Min of Defence
43111,Min Of Defence, Defence对面
43119,Bef Hazel Pk Terr, Bef Hazel Pk Terr
43121,Aft Cashew Terr, Cashew Terr对面
43129,Cashew Pk Condo, Pk Condo对面
43131,Bt Panjang Pr Sch, Bt Panjang Pr Sch
43139,Opp Bt Panjang Pr Sch, Bt Panjang Pr Sch对面
43141,Opp Blk 291A, 大牌291A对面
43149,Blk 291A, 大牌291A
43151,Opp Glendale Pk Condo, Opp Glendale Pk Condo
43159,Bef Glendale Pk Condo, Bef Glendale Pk Condo
43161,Blk 272, 大牌272
43169,Blk 254, 大牌254
43171,Blk 229, 大牌229
43179,Blk 231, 大牌231
43181,Keming Pr Sch, 克明小学
43189,Blk 283, 大牌283
43191,Blk 288C, 大牌288C
43199,Ch Of St. Mary, Ch of St. Mary
43201,Opp Autobacs, Autobacs对面
43209,Autobacs, Autobacs
43211,SBS Transit West District, SBS Transit West District
43219,Opp SBS Transit West District, SBS Transit West District对面
43221,Blk 267, 大牌267
43229,Opp Blk 266, 大牌266对面
43231,Opp The Petals Condo, Opp The Petals Condo
43239,The Petals Condo, Petals Condo对面
43241,Opp Hillview Apts, Hillview Apts对面
43249,Hillview Apts, Hillview Apts
43251,Hillbrooks, 大牌Hillbrooks
43259,Opp Hillbrooks, Opp Hillbrooks
43261,Opp Hillview Hts, Hillview Hts对面
43267,Hillview Hts, Hillview Hts
43268,Hillington Green Condo, Green Condo对面
43271,Glendale Pk Condo, Pk Condo对面
43279,Aft Hillview Stn, Opp Glendale Pk Condo
43289,Hillview Hse, Hillview Hse
43291,Aft Jln Remaja, Jln Remaja对面
43301,Opp Hillbrooks, Opp Hillbrooks
43309,Hillbrooks, 大牌Hillbrooks
43311,Midview Bldg, Midview Bldg
43319,Opp Midview Bldg, Midview Bldg对面
43321,Opp Blk 144, 大牌144对面
43329,Blk 146, 大牌146
43331,Opp Bt Batok Presby Ch, 武吉巴督Presby 教会对面
43341,Princess E Pr Sch, Princess E Pr Sch
43349,Opp Princess E Pr Sch, Princess E Pr Sch对面
43351,Blk 168, 大牌168
43361,Blk 154A, 大牌154A
43371,Blk 109, 大牌109
43379,Blk 185, 大牌185
43381,Blk 102, 大牌102
43389,Opp Blk 102, 大牌102对面
43391,Bt Batok CC, 武吉巴督俱乐部
43399,Opp Blk 120, 大牌120对面
43401,Bt Batok Polyclinic, Batok Polyclinic对面
43409,Opp Blk 127, 大牌127对面
43411,Opp Blk 628, 大牌628对面
43419,Blk 628, 大牌628
43421,Blk 503, 大牌503
43429,Blk 240, 大牌240
43431,Opp Blk 242, 大牌242对面
43439,Blk 242, 大牌242
43441,Opp Blk 258, 大牌258对面
43449,Blk 258, 大牌258
43452,AFT BT BATOK WEST AVE 3
43453,BEF PIE
43459,Aft PIE, PIE之后
43461,Aft Bt Batok West Ave 5, Bt Batok West Ave 5对面
43469,Bef Bt Batok West Ave 5, Bt Batok West Ave 5对面
43471,Blk 306, 大牌306
43479,Opp Blk 305, 大牌305对面
43481,Blk 315, 大牌315
43489,Opp Blk 315, 大牌315对面
43491,Blk 331, 大牌331
43499,Blk 419, 大牌419
43501,Opp Blk 291E, 大牌291E对面
43509,Blk 291E, 大牌291E
43511,Bt Batok Swim Cplx, 武吉巴督游泳池
43519,Opp Bt Batok Swim Cplx, 武吉巴督游泳池对面
43521,Bt Batok Driving Ctr, Bt Batok Driving Ctr
43529,Opp Bt Batok Driving Ctr, Bt Batok Driving Ctr对面
43531,Blk 140, 大牌140
43539,Opp Blk 140, 大牌140对面
43541,Blk 510, 大牌510
43549,Regent Hts, Regent Hts
43561,Opp Bt Gombak Stadium, 武吉甘柏体育场对面
43569,Bt Gombak Stadium, 武吉甘柏体育场
43571,Opp Bt Gombak Stn, Opp Bt Gombak Stn
43579,Bt Gombak Stn, Gombak Stn对面
43581,Blk 347, 大牌347
43589,Opp Blk 347, 大牌347对面
43591,Opp Bt View Sec Sch, Bt View中学对面
43599,Bt View Sec Sch, Bt View中学
43601,Opp Blk 532, 大牌532对面
43609,Blk 531, 大牌531
43611,Blk 290H, 大牌290H
43619,Blk 289E, 大牌289E
43621,Opp Parkview Apts, 公园view 公寓对面
43629,Yusof Ishak Sec Sch, Yusof Ishak中学
43631,YWMA Kindergarten, 大牌Kindergarten
43639,Opp YWMA Kindergarten, 大牌Kindergarten对面
43641,Opp HomeTeamNS, Opp HomeTeamNS
43649,HomeTeamNS, HomeTeamNS
43659,St. Anthony's Pr Sch, St. Anthony's Pr Sch
43669,Blk 406, 大牌406
43671,Opp Dunearn Sec Sch, 德能中学对面
43679,Blk 402, 大牌402
43681,BT BATOK HME FOR THE AGED, Batok Home for The Aged对面
43691,Blk 190, 大牌190
43699,Blk 298, 大牌298
43701,Blk 225, 大牌225
43709,Blk 644, 大牌644
43719,MINDEF CP, MINDEF CP
43721,Blk 319, 大牌319
43731,Opp Blk 217, 大牌217对面
43739,Blk 217, 大牌217
43741,Bt View Sec Sch, Bt View中学
43749,Opp Bt View Sec Sch, Bt View中学对面
43751,Opp Blk 443D, LP 56之后
43759,Blk 443D, LP 59之后
43761,Opp Dulwich Coll, LP 32之后
43769,Dulwich Coll/Blk 445, LP 37之后
43771,Bef Bt Batok West Ave 2, LP 100之后
43779,Aft Bt Batok West Ave 2, 武吉巴督西2道之后
43781,Opp Blk 437A, LP 74之后
43789,BLK 436A, LP 83之后
43801,Ren Ci @ Bt Batok St 52, 大牌537对面
43809,Blk 514, 大牌514
43811,Bef Summerhill, Bef Summerhill
43819,Hillview Green, Hillview Green
43821,Opp Symphony Hts, Symphony Hts对面
43829,Symphony Hts, Symphony Hts
43831,Blk 334, 大牌334
43839,Opp Blk 336, 大牌336对面
43841,Blk 324, 大牌324
43859,Opp Dairy Farm Est Sth G, Dairy Farm Est Sth Gate对面
43869,Bef Dairy Farm Est Sth G, Dairy Farm Est Nth Gate对面
43879,Opp Hse No. 42, Opp Hse No. 42
43889,Aft Chestnut Dr, Chestnut Dr对面
43891,AFT DAIRY FARM CRES
43899,BEF DAIRY FARM CRES
43961,AFT DAIRY FARM HTS
43969,BEF DAIRY FARM HTS
43991,OPP BLK 635A
44009,Choa Chu Kang Int, Choa Chu Kang Int
44011,Opp The Linear, The Linear对面
44019,The Linear, The Linear
44021,Bt Panjang Stn Exit B, Sri Murugan Hill Tp
44029,Bt Panjang Stn Exit A/Lrt, 大牌185A对面
44031,Aft Bt Panjang Stn, Ten Mile Junction Stn对面
44041,Ten Mile Junction Stn, Ten Mile Junction Stn
44049,Opp Ten Mile Junction Stn, Ten Mile Junction Stn对面
44051,Opp Blk 632 CP, 义顺2道之后
44059,Blk 632 CP, Opp Heavy Veh Pk
44061,Bef Yew Tee Flyover, Bef Yew Tee Flyover
44069,Aft KJE Slip Rd, 义顺2道之后
44071,Blk 464, 大牌464
44079,Opp Blk 464, 大牌464对面
44081,Blk 296A, 大牌296A
44089,Opp Blk 296A, 大牌296A对面
44091,Bef Choa Chu Kang Mkt, Former Keat Hong Camp对面
44099,Opp Choa Chu Kang Mkt, Former Keat Hong Camp
44101,Aft Hong San Terr, Ｇｅｙｌａｎｇ　San　Terr　之后
44109,Opp Hong San Terr, Opp Hong San Terr
44111,Opp Blk 203, 大牌203对面
44119,Blk 204, 大牌204
44121,Blk 113, 大牌113
44129,Opp Blk 113, 大牌113对面
44131,Blk 26, 大牌26
44139,Opp Blk 26, 大牌26对面
44141,Phoenix Stn, Phoenix Stn
44149,Opp Phoenix Stn, Phoenix Stn对面
44151,Opp Bt Batok Fire Stn, 武吉巴督消防员车站对面
44159,Bt Batok Fire Stn, 武吉巴督消防员
44161,Aft Bt Batok West Ave 5, 武吉巴督西5道之后
44169,Bef Bt Batok West Ave 5, 武吉巴督西5道之前
44171,Bef Bt Batok West Ave 5, 武吉巴督5道之前
44179,Aft Bt Batok West Ave 5, 武吉巴督西5道之后
44181,Blk 802B, 大牌802B
44189,Blk 803, 大牌803
44191,Opp Blk 171, 大牌171对面
44199,Blk 171, 大牌171
44201,Aft Petir Stn, Petir Stn对面
44209,Opp Petir Stn, Petir Stn对面
44211,Blk 127, 大牌127
44219,Bet Blks 139/140, 大牌140对面
44221,Opp Pending Stn, Pending Stn对面
44229,Bef Pending Stn, Pending Stn对面
44231,Zhenghua Pr Sch, Pr Sch对面
44239,Opp Zhenghua Pr Sch, Opp Zhenghua Pr Sch
44241,Opp Lompang Rd, Lompang Rd对面
44249,Blk 174, 大牌174
44251,Blk 604, 大牌604
44259,Blk 183, 大牌183
44261,Blk 270, 大牌270
44269,Blk 223, 大牌223
44271,Bet Blks 13/14, 大牌14对面
44279,Blk 157, 大牌157
44281,Blk 8, 大牌8
44289,Blk 6, 大牌6
44291,Opp Cck Polyclinic, Choa Chu Kang Polyclinic对面
44299,Cck Polyclinic, Choa Chu Kang Polyclinic
44301,Opp Blk 271, 大牌271对面
44311,Opp Blk 253, 大牌253对面
44321,Opp Bangkit Stn, Bangkit Stn对面
44329,Bangkit Stn, Bangkit Stn
44331,Blk 239, 大牌239
44339,Blk 442D, 大牌442D
44341,Blk 401A CP, 大牌CP对面
44349,Bet Blks 443A/443B, 大牌443B对面
44351,Aft Chestnut Ave, Chestnut Ave对面
44359,Bef Chestnut Ave, Chestnut Ave对面
44361,Bef Dairy Farm Rd, Bef Dairy Farm Rd
44369,Aft Dairy Farm Rd, 义顺2道之后
44371,Blk 219, 大牌219
44379,Opp Blk 219, 大牌219对面
44381,Blk 202, 大牌202
44389,Opp Blk 201, 大牌201对面
44391,Aft Blk 202, 大牌202对面
44399,Opp Blk 210, 大牌210对面
44411,Blk 108, 大牌108
44421,Blk 25, 大牌25
44439,Blk 9, 大牌9
44441,Blk 239, 大牌239
44449,Opp Blks 237/239, 大牌239对面
44451,Blk 224, 大牌224
44459,Blk 277, 大牌277
44461,Blk 352, 大牌352
44469,Blk 414, 大牌414
44471,Blk 234, 大牌234
44479,Blk 206, 大牌206
44481,Blk 223, 大牌223
44489,Blk 220, 大牌220
44491,Bet Blks 416/417, 大牌417对面
44499,Blk 429A CP, 大牌CP对面
44501,Blk 426, 大牌426
44509,Blk 442, 大牌442
44511,Blk 289, 大牌289
44519,Blk 402, 大牌402
44521,Blk 280, 大牌280
44529,Blk 410, 大牌410
44531,Opp Choa Chu Kang Stn, Choa Chu Kang Stn对面
44539,Lot 1 Shoppers' Mall, Lot 1 Shoppers' Mall
44541,Northvale Condo, Northvale Condo
44549,Opp Northvale Condo, Northvale Condo对面
44551,Opp Blk 486, 大牌486对面
44559,Blk 483, 大牌483
44561,Opp Blk 295, 大牌295对面
44569,Blk 295, 大牌295
44571,Blk 297D, 大牌297D
44579,Aft Blk 272, 大牌272对面
44581,Blk 489A, 大牌489A
44589,Opp Blk 489A, 大牌489A对面
44591,Blk 490B, 大牌490B
44599,Bet Blks 801B/801C, Former Keat Hong Camp
44601,Blk 413, 大牌413
44609,Blk 408, 大牌408
44611,Blk 516, 大牌516
44619,Blk 506, 大牌506
44621,Opp Concord Pr Sch, Opp Concord Pr Sch
44629,Blk 457, 大牌457
44631,Opp Bt Panjang Plaza, Opp Bt Panjang Plaza
44639,Bt Panjang Plaza, Panjang Plaza对面
44641,Blk 602, 大牌602
44649,Blk 541A CP, 大牌CP对面
44651,Blk 617, 大牌617
44659,Blk 537A CP, 大牌CP对面
44661,Blk 532, 大牌532
44669,Opp Blk 532, 大牌532对面
44671,Bet Blks 502/503, 大牌503对面
44679,Opp Blk 502, 大牌502对面
44689,Sunshine Pl, Sunshine Pl
44691,BLK 485, 大牌484对面
44699,BLK 457, 大牌484对面
44701,Blk 548B, 大牌548B
44709,Blk 547C, 大牌547C
44721,Opp Jelapang Stn, Jelapang Stn对面
44731,Opp Blk 180, 大牌180对面
44739,Blk 180, 大牌180
44771,Fajar Stn, Fajar Stn
44779,Opp Fajar Stn, Fajar Stn对面
44791,West View Pr Sch, West View Pr Sch
44799,Blk 610, 大牌610
44801,Opp Blk 628, 大牌628对面
44809,Blk 628, 大牌628
44811,West Spring Sec Sch, West Spring Sec Sch
44819,Opp West Spring Sec Sch, West Spring Sec Sch对面
44821,Blk 651, 大牌651
44829,Opp Blk 650, 大牌650对面
44859,Maysprings Condo, Maysprings Condo
44861,BLK 636A, 大牌635C
44869,BEF BLK 629A MSCP, 大牌635C对面
44871,Blk 810 CP
44879,Opp Blk 810 CP
44889,Opp Blk 816A
44891,APSN
44899,Opp APSN
44909,Blk 184, Opp Bt Panjang Plaza
45009,BT PANJANG INT, Panjang Temp Bus Pk对面
45011,Aft Yew Tee Flyover, 义顺2道之后
45019,Aft Yew Tee Flyover, 义顺2道之后
45021,Heavy Veh Pk, Veh Pk对面
45029,Opp Heavy Veh Pk, Opp Heavy Veh Pk
45031,Yew Tee Ind Est, Yew Tee Ind Est
45039,Opp Yew Tee Ind Est, Yew Tee Ind Est对面
45041,Thong Huat Bros Pte Ltd, Huat Bros Pte Ltd对面
45049,Opp Yew Tee Ind Est Blk 1, Yew Tee Ind Est Blk 1对面
45051,Da Di Glass, Di Glass对面
45059,Opp Da Di Glass, Opp Da Di Glass
45061,Opp Mandai Est, Mandai Est对面
45069,Aft Mandai Est, Mandai Est对面
45071,Bef Mandai Rd, Mandai Rd对面
45079,Aft Mandai Rd, Mandai Rd对面
45091,Opp Jln Bumbong, Jln Bumbong对面
45099,Aft Jln Bumbong, Jln Bumbong对面
45101,Aft LP 234, 大牌234对面
45109,Bef Jln Bumbong, Jln Bumbong对面
45111,Opp Kranji War Memorial, Opp Kranji War Memorial
45119,Kranji War Memorial, War Memorial对面
45121,Opp S'pore Turf Club, Opp S'pore Turf Club
45129,S'pore Turf Club, Turf Club对面
45131,Opp Kranji Stn, Kranji Stn对面
45139,Kranji Stn, Kranji Stn
45141,Aft W'Lands Rd, Woodlands Rd对面
45149,Bef W'Lands Rd, Woodlands Rd对面
45151,Opp Multistates Trading, Multistates Trading对面
45159,Multistates Trading, Multistates Trading
45161,Eurokars Ctr, Hiap Hin对面
45169,Opp Eurokars Ctr, Hiap Hin
45171,Sri Arasakesari Sivan Tp, Mandai Est对面
45179,Sri Arasakesari Sivan Tp, Sri Arasakesari Sivan Tp
45181,Opp Mandai CD Trg Village, Mandai CD Trg Village对面
45189,Mandai CD Trg Village, Mandai CD Trg Village
45191,Opp Mandai Police Trg Camp, Mandai Police Trg Camp对面
45199,Mandai Police Trg Camp, Mandai Police Trg Camp
45201,Opp Police Tactical Trg Camp, Police Tactical Trg Camp对面
45209,Police Tactical Trg Camp, Police Tactical Trg Camp
45211,Bef BKE, 大牌BKE
45221,Aft W'Lands Rd, Woodlands Rd对面
45229,Bef W'Lands Rd, Woodlands Rd对面
45231,Blk 432, 大牌432
45239,Bet Blks 306/307, 大牌307对面
45241,Opp Blk 511A, 大牌511A对面
45249,Blk 511A, 大牌511A
45251,Opp Kranji Sec Sch, Opp Kranji Sec Sch
45259,Blk 523, 大牌523
45261,Blk 551, 大牌551
45269,Blk 544, 大牌544
45271,Blk 560, 大牌560
45279,Blk 563, 大牌563
45291,Opp Blk 704, 大牌704对面
45299,Blk 702, 大牌702
45301,Blk 708, 大牌708
45309,Blk 754, 大牌754
45311,Blk 547, 大牌547
45319,Blk 530, 大牌530
45321,Yew Tee Stn, Tee Stn对面
45329,Opp Yew Tee Stn, Opp Yew Tee Stn
45331,Blk 621, 大牌621
45339,Blk 625, 大牌625
45341,Blk 604A, 大牌604A
45349,Opp Blk 604A, 大牌604A对面
45351,Blk 634, 大牌634
45359,Blk 790, 大牌790
45361,Opp Blk 765, 大牌765对面
45369,Blk 765, 大牌765
45371,Opp Yew Mei Green Condo, Yew Mei Green Condo对面
45379,Yew Mei Green Condo, Yew Mei Green Condo
45389,Blk 619, 大牌619
45391,Blk 657, 大牌657
45399,Regent Gr Condo, Gr Condo对面
45401,Blk 681, 大牌681
45411,Opp Blk 670, 大牌670对面
45421,Opp Blk 666, 大牌666对面
45439,Opp Blk 661, 大牌661对面
45441,Opp Eng Hua Furniture Mfg Pte Ltd, Eng Hua Furniture Mfg Pte Ltd对面
45449,Eng Hua Furniture Mfg Pte Ltd, Hua Furniture Mfg Pte Ltd对面
45451,Blk 293, 大牌293
45461,Blk 540, 大牌544
45469,Blk 532, 大牌704对面
45479,Kranji Pr Sch, Pr Sch对面
46008,W'Lands Temp Int, Reg Int对面
46009,W'Lands Temp Int, Reg Int对面
46011,Bef W'Lands Ctr Rd, Bef Woodlands Ctr Rd
46019,Aft W'Lands Ctr Rd, 义顺2道之后
46021,Bef W'Lands Ind Pk D St 2, Opp Woodlands Fire Stn
46029,Aft W'Lands Ind Pk D St 2, 义顺2道之后
46031,Kranji Lodge 1, Woodlands Ind Pk D对面
46039,Opp Kranji Lodge 1, Woodlands Ind Pk D对面
46041,Opp Globalfoundries, Opp Sri Arasakesari Tp
46049,Globalfoundries, Bef Sri Arasakesari Tp
46051,Bef BKE, Chartered Semi-c Bldg对面
46059,Globalfoundries/Aft Bke, Chartered Semi-C Bldg
46069,W'Lands Train Checkpt, Train Checkpt对面
46071,Blk 137, 大牌137
46079,Opp Blk 137, 大牌137对面
46088,Opp Blk 1A, 大牌1A对面
46091,W'Lands Town Gdn, Town Gdn对面
46101,W'Lands Checkpt, Woodlands Checkpt
46109,W'Lands Checkpt, Woodlands Checkpt
46111,Blk 23, 大牌23
46119,Marsiling CC, 马西岭社区中心
46121,Opp Marsiling Lane Mkt/Fc, 熟食中心对面
46129,Marsiling Lane Mkt/Fc, 熟食中心
46131,Aft Marsiling Lane, 马西岭巷之后
46139,Aft Riverside Rd, 河傍路之后
46141,Blk 32, 大牌32
46149,Blk 203, 大牌203
46151,Blk 212, 大牌212
46159,Blk 206, 大牌206
46161,GES S'pore, 大牌S'pore
46169,Si Ling Sec Sch, Si Ling Sec Sch
46171,Opp Blk 19, 大牌19对面
46179,Blk 18, 大牌18
46181,Opp Blk 12, 大牌12对面
46189,Blk 12, 大牌12
46191,Opp Blk 120, 大牌120对面
46199,Blk 120, 大牌120
46201,Blk 10, 大牌10
46209,Blk 2, 大牌2
46211,Johor Bahru Checkpt, Bahru Checkpt对面
46219,Johor Bahru Checkpt, Bahru Checkpt对面
46221,Innova JC, 大牌JC
46229,Opp Innova JC, 大牌JC对面
46239,Larkin Ter, Larkin Ter
46241,Opp Blk 15, 大牌15对面
46249,Blk 15, 大牌15
46251,Riverside Sec Sch, Sec Sch对面
46261,Blk 808, 大牌808
46269,Republic Poly, Republic Polytechnic
46271,Opp Blk 802, 大牌802对面
46279,Blk 803, 大牌803
46281,Blk 825, 大牌825
46289,Blk 891C CP, 大牌CP对面
46291,Blk 106, 大牌106
46299,Opp Blk 106, 大牌106对面
46301,Progen Bldg, HLH Tyre & Battery
46309,Opp Progen Bldg, Pacific Vintex对面
46311,Blk 18, 大牌18
46319,Opp Blk 18, 大牌18对面
46321,W'Lands Civic Ctr, Civic Ctr对面
46329,Opp W'Lands Civic Ctr, Opp Woodlands Civic Ctr
46331,Blk 511, 大牌511
46339,Blk 370, 大牌370
46341,Rosewood, 大牌Rosewood
46349,Aft Blk 353, 大牌353对面
46351,WOODHAVEN, Woodgrove Condo对面
46359,Aft Blk 336, 大牌336对面
46361,Blk 425, 大牌425
46369,Blk 413, 大牌413
46371,Blk 406, 大牌406
46379,Blk 409, 大牌409
46381,Opp W'Lands Ind Pk D St 1, Opp Tech
46389,Aft W'Lands Ind Pk D St 2, 大牌Tech
46391,Blk 853, 大牌853
46399,Aft 888 Plaza, 大牌Plaza对面
46401,Blk 864, 大牌864
46409,Blk 701A CP, 大牌CP对面
46411,Blk 869, 大牌869
46419,Evergreen Pr Sch, Pr Sch对面
46421,Evergreen Sec Sch, Sec Sch对面
46429,Blk 856, 大牌856
46431,Blk 840, 大牌840
46439,Blk 880, 大牌880
46441,Blk 816, 大牌816
46449,Blk 875, 大牌875
46451,Opp Blk 872, 大牌872对面
46459,Blk 872, 大牌872
46461,Opp Blk 757A CP, Opp Blk 757A CP
46469,Blk 759, 大牌759
46471,Opp Blk 773, 大牌773对面
46479,Blk 774, 大牌774
46481,Aft Woodlands Ind Pk E6, Woodlands Ind Pk E6对面
46489,Aft Gambas Ave, Gambas Ave对面
46491,Blk 402, 大牌402
46499,Opp Blk 402, 大牌402对面
46501,Opp W'Lands Town Gdn, Opp Woodlands Town Gdn
46509,W'Lands Town Gdn, Town Gdn对面
46511,Marsiling Pr Sch, Pr Sch对面
46519,Opp Blk 144, 大牌144对面
46521,Marsiling Stn, Marsiling Stn
46529,Opp Marsiling Stn, Marsiling Stn对面
46531,Blk 173, 大牌173
46539,Blk 320, 大牌320
46541,Opp Blk 347, 大牌347对面
46549,Blk 347, 大牌347
46551,Blk 101, 大牌101
46559,Opp Blk 101, 大牌101对面
46561,Opp Blk 178, 大牌178对面
46569,Blk 178, 大牌178
46571,Opp Blk 154, 大牌154对面
46579,Blk 154, 大牌154
46581,Opp Blk 146, 大牌146对面
46589,Blk 146, 大牌146
46591,Blk 303, 大牌303
46611,Fuchun Sec Sch, Sec Sch对面
46619,Opp Fuchun Sec Sch, Opp Fuchun Sec Sch
46621,Blk 335, 大牌335
46629,The Woodgrove, The Woodgrove
46631,Blk 892C CP, 大牌CP对面
46639,Opp Blk 892C CP, Opp Blk 892C CP
46641,Blk 894C, 大牌894C
46649,Blk 515, 大牌515
46651,Blk 550, 大牌550
46659,Opp Blk 550, 大牌550对面
46661,Opp Blk 896B, 大牌896B对面
46669,W'Lands Pr Sch, Pr Sch对面
46671,Bef 888 Plaza, 大牌Plaza对面
46679,Opp 888 Plaza, 大牌Plaza对面
46681,Blk 899A, 大牌899A
46689,Blk 609, 大牌609
46691,Opp 888 Plaza, 大牌Plaza对面
46699,888 Plaza, 大牌Plaza
46709,Aft Blk 1, 大牌1对面
46711,Bef Admiralty Rd West, Bef Admiralty Rd West
46719,Givaudan S'pore, Givaudan S'pore
46721,Bef W'Lands Ind Pk E7, Pacific Vinitex对面
46729,Aft W'Lands Ind Pk E7, Pacific Vinitex
46731,Yew Huat Scaffolding Work, Yew Huat Scaffolding Work
46739,BLK 782, Yew Huat Scaffolding Work对面
46741,Seagate, 大牌Seagate
